danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_hit
0.644,0.77,1.0,-4.807,1.0,0.0561,0.0541,0.0,0.22,0.367,93.989,169787.0,0
0.667,0.747,9.0,-6.665,0.0,0.122,0.0333,0.00112,0.362,0.59,75.028,209583.0,1
0.207,0.218,11.0,-17.548,0.0,0.0498,0.114,0.597,0.0706,0.0286,50.798,167813.0,0
0.67,0.521,5.0,-8.721,0.0,0.206,0.64,0.0112,0.18,0.716,115.963,178965.0,0
0.797,0.677,9.0,-4.163,0.0,0.0857,0.101,0.0,0.441,0.919,130.034,219320.0,0
0.563,0.689,0.0,-4.294,0.0,0.0262,0.294,0.0,0.288,0.321,101.94,327029.0,1
0.378,0.191,5.0,-26.809,0.0,0.0611,0.343,0.827,0.0552,0.0389,130.216,166733.0,0
0.478,0.729,6.0,-8.538,1.0,0.732,0.0714,0.0,0.101,0.532,85.151,188464.0,0
0.699,0.911,1.0,-4.889,0.0,0.0365,0.561,0.0,0.482,0.801,116.985,146520.0,0
0.51,0.703,2.0,-4.238,0.0,0.0478,0.543,1.65e-06,0.0941,0.337,149.803,379014.0,0
0.295,0.563,2.0,-8.686,1.0,0.0358,0.0305,0.0,0.0968,0.521,87.067,259519.0,0
0.652,0.71,11.0,-12.024,1.0,0.04,0.197,0.284,0.235,0.627,172.053,280961.0,0
0.258,0.0949,10.0,-28.482,0.0,0.042,0.465,0.854,0.0646,0.0288,100.164,133458.0,0
0.497,0.947,0.0,-8.802,1.0,0.0391,8.21e-05,0.000693,0.118,0.588,90.371,217906.0,0
0.402,0.298,7.0,-12.68,1.0,0.0349,0.987,0.858,0.164,0.114,60.116,81973.0,0
0.625,0.91,0.0,-2.583,0.0,0.107,0.0108,0.0,0.662,0.328,122.067,202930.0,0
0.244,0.645,5.0,-5.863,1.0,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307.0,0
0.579,0.967,11.0,-5.178,1.0,0.0927,0.0727,0.000283,0.146,0.897,150.001,264465.0,0
0.893,0.839,11.0,-6.785,1.0,0.0671,0.0911,1.83e-05,0.113,0.801,129.998,214155.0,1
0.56,0.859,1.0,-9.272,1.0,0.053,0.059,0.826,0.149,0.129,122.016,217758.0,0
0.621,0.785,6.0,-4.499,1.0,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,155253.0,0
0.422,0.419,0.0,-9.049,1.0,0.0302,0.741,0.938,0.143,0.325,79.883,153095.0,1
0.65,0.252,0.0,-10.939,1.0,0.046,0.522,0.879,0.106,0.332,170.028,148000.0,1
0.548,0.631,7.0,-8.032,1.0,0.0417,0.124,0.000111,0.0933,0.594,139.997,410064.0,0
0.429,0.0997,0.0,-23.883,1.0,0.0427,0.992,0.902,0.115,0.0804,93.229,399666.0,1
0.39,0.758,3.0,-6.329,1.0,0.0312,0.00114,0.829,0.0978,0.0993,84.003,348053.0,0
0.6,0.757,1.0,-7.666,1.0,0.135,0.0335,0.000165,0.296,0.443,73.061,223665.0,1
0.321,0.0731,11.0,-40.264,0.0,0.0616,0.987,0.973,0.108,0.0313,149.98,110000.0,0
0.598,0.779,0.0,-6.615,0.0,0.0368,0.0253,0.773,0.597,0.444,117.965,165763.0,0
0.36,0.312,6.0,-9.133,0.0,0.0317,0.837,0.0,0.186,0.379,100.028,217707.0,0
0.874,0.692,5.0,-5.28,0.0,0.043,0.0412,7.4e-05,0.324,0.938,116.02,178560.0,0
0.752,0.967,0.0,-13.97,1.0,0.053,2.48e-05,0.932,0.17,0.886,143.216,261731.0,0
0.537,0.445,1.0,-12.719,0.0,0.0333,0.666,0.0717,0.108,0.377,160.02,269498.0,0
0.131,0.0503,7.0,-24.031,1.0,0.0413,0.93,0.844,0.196,0.0342,144.346,117360.0,0
0.514,0.962,7.0,-6.419,1.0,0.268,0.553,8.06e-05,0.332,0.549,149.895,339440.0,0
0.662,0.476,0.0,-14.114,0.0,0.0613,0.00186,0.00683,0.353,0.489,103.302,114907.0,0
0.523,0.906,7.0,-5.993,1.0,0.0704,0.379,0.0,0.569,0.757,104.859,399317.0,0
0.218,0.2,1.0,-14.489,1.0,0.0338,0.411,0.925,0.366,0.0307,94.273,418640.0,0
0.816,0.223,0.0,-13.643,1.0,0.0702,0.503,0.000124,0.0618,0.842,122.708,158960.0,0
0.675,0.693,8.0,-8.248,1.0,0.054,0.189,0.633,0.0754,0.593,110.017,249600.0,0
0.0875,0.785,3.0,-14.315,1.0,0.154,0.687,0.969,0.981,0.0,87.171,34880.0,0
0.671,0.789,4.0,-6.467,1.0,0.0936,0.729,1.43e-06,0.451,0.534,97.56,201322.0,0
0.663,0.706,2.0,-6.196,1.0,0.318,0.000952,9.68e-05,0.236,0.466,98.444,209001.0,0
0.786,0.825,1.0,-5.191,0.0,0.259,0.0872,0.00327,0.147,0.752,180.026,193400.0,0
0.446,0.796,9.0,-5.7,0.0,0.0323,0.000876,6.22e-05,0.177,0.168,94.987,260519.0,0
0.783,0.708,6.0,-11.014,1.0,0.0874,0.596,2.27e-05,0.0709,0.923,92.026,253356.0,0
0.752,0.952,10.0,-8.087,0.0,0.0746,0.242,0.0,0.343,0.767,139.961,397813.0,0
0.488,0.815,9.0,-4.354,0.0,0.0438,0.0148,0.00207,0.0744,0.0654,174.994,224946.0,1
0.645,0.43,10.0,-8.803,0.0,0.381,0.00299,0.000125,0.551,0.468,170.101,76776.0,0
0.785,0.772,7.0,-8.438,1.0,0.0331,0.641,0.0,0.312,0.969,128.015,197760.0,0
0.456,0.44,7.0,-14.748,1.0,0.24,0.905,0.00579,0.73,0.619,181.242,176453.0,0
0.698,0.77,5.0,-5.27,1.0,0.0366,0.331,0.0,0.15,0.667,115.962,209693.0,0
0.68,0.471,2.0,-6.553,1.0,0.033,0.434,0.00038,0.147,0.463,124.124,293721.0,0
0.632,0.391,2.0,-11.023,1.0,0.0243,0.405,0.000183,0.0507,0.508,89.248,311600.0,0
0.611,0.937,9.0,-4.462,1.0,0.115,0.00146,2.9e-05,0.478,0.468,130.004,223608.0,0
0.708,0.832,7.0,-4.831,1.0,0.0383,0.0517,0.00017,0.329,0.925,153.994,209416.0,0
0.464,0.244,2.0,-14.386,0.0,0.0433,0.754,0.000186,0.165,0.343,92.472,126642.0,1
0.928,0.736,9.0,-8.185,0.0,0.195,0.528,1.42e-05,0.0352,0.893,95.969,294584.0,0
0.825,0.434,11.0,-15.244,1.0,0.0909,0.131,0.0226,0.105,0.628,98.001,186122.0,0
0.573,0.837,10.0,-8.352,0.0,0.0337,0.0144,0.0889,0.0544,0.796,101.59,301466.0,1
0.657,0.368,7.0,-9.971,1.0,0.0451,0.779,0.000283,0.101,0.593,146.993,203008.0,0
0.752,0.698,11.0,-5.775,1.0,0.211,0.263,0.0,0.189,0.587,173.974,192333.0,1
0.85,0.557,2.0,-7.089,0.0,0.0339,0.149,2.35e-05,0.12,0.915,106.054,324680.0,0
0.799,0.923,10.0,-6.108,0.0,0.119,0.0366,1.33e-05,0.41,0.776,109.964,290667.0,0
0.702,0.549,9.0,-7.974,0.0,0.0323,0.444,0.0,0.373,0.727,140.014,254493.0,0
0.625,0.631,11.0,-7.732,0.0,0.408,0.0238,0.0,0.0907,0.81,125.831,152800.0,0
0.805,0.876,9.0,-5.835,1.0,0.0297,0.116,1.19e-06,0.323,0.943,120.046,210531.0,0
0.616,0.648,9.0,-10.457,0.0,0.09,0.473,0.0311,0.0915,0.18,123.916,197387.0,1
0.941,0.899,0.0,-5.602,0.0,0.228,0.0664,0.00426,0.181,0.597,119.968,279999.0,0
0.492,0.859,9.0,-4.133,1.0,0.0719,0.331,0.0,0.0603,0.777,167.952,165756.0,0
0.466,0.4,0.0,-9.174,0.0,0.0282,0.686,0.000778,0.124,0.103,90.037,201741.0,0
0.693,0.259,1.0,-7.918,1.0,0.0372,0.448,0.000135,0.0995,0.361,88.972,175432.0,1
0.663,0.459,7.0,-8.61,1.0,0.0406,0.499,0.0,0.0906,0.406,90.989,274286.0,1
0.544,0.933,4.0,-8.093,0.0,0.045,0.0197,5.38e-05,0.306,0.443,135.228,261893.0,0
0.782,0.575,10.0,-8.976,0.0,0.207,0.439,0.0,0.626,0.625,140.023,212571.0,0
0.554,0.578,0.0,-9.625,1.0,0.0733,0.559,0.0,0.087,0.255,138.604,326902.0,0
0.483,0.219,0.0,-13.27,1.0,0.0482,0.972,0.0,0.116,0.641,149.581,216584.0,0
0.358,0.916,11.0,-3.571,1.0,0.0952,0.326,8.63e-06,0.148,0.348,161.703,240746.0,0
0.49,0.749,9.0,-2.244,0.0,0.0649,0.389,0.0,0.0792,0.739,144.87,128731.0,0
0.665,0.283,0.0,-8.915,1.0,0.0353,0.962,2.49e-05,0.119,0.352,119.897,176000.0,0
0.571,0.909,1.0,-6.386,0.0,0.0411,0.000379,0.935,0.371,0.255,127.96,208771.0,0
0.299,0.625,11.0,-6.074,1.0,0.0491,0.0737,0.000414,0.995,0.165,105.242,448000.0,0
0.499,0.059,7.0,-20.969,1.0,0.0546,0.995,0.89,0.0889,0.171,82.472,157400.0,0
0.806,0.481,0.0,-11.256,1.0,0.0634,0.0687,0.311,0.148,0.68,110.057,29342.0,0
0.598,0.839,0.0,-4.768,1.0,0.0305,0.00413,0.0,0.0774,0.798,119.954,249546.0,0
0.367,0.638,3.0,-2.857,0.0,0.0337,0.354,0.779,0.128,0.788,167.305,71733.0,0
0.655,0.803,9.0,-7.472,1.0,0.179,0.465,4.29e-05,0.0499,0.651,90.973,222998.0,0
0.409,0.35,10.0,-8.025,1.0,0.0275,0.75,0.0,0.114,0.126,139.876,306786.0,0
0.67,0.702,7.0,-9.824,1.0,0.0527,0.705,0.896,0.118,0.197,145.676,207333.0,0
0.774,0.66,8.0,-7.478,0.0,0.216,0.265,8.62e-06,0.117,0.508,145.051,145655.0,0
0.691,0.816,9.0,-4.378,0.0,0.0425,0.449,0.000129,0.33,0.812,150.07,326035.0,0
0.691,0.495,2.0,-10.19,1.0,0.0351,0.812,0.702,0.142,0.0692,95.743,47505.0,0
0.398,0.929,2.0,-10.072,1.0,0.074,0.00223,0.943,0.46,0.256,181.918,196138.0,0
0.494,0.97,7.0,-3.513,0.0,0.444,0.205,0.0,0.0692,0.23,92.56,124739.0,0
0.188,0.966,9.0,-1.616,1.0,0.152,0.00693,0.000342,0.0483,0.43,192.356,201413.0,0
0.614,0.77,5.0,-6.622,0.0,0.0574,0.333,0.000144,0.405,0.423,89.91,271339.0,1
0.703,0.907,10.0,-5.157,0.0,0.0616,0.0283,1.07e-06,0.301,0.263,99.687,202556.0,0
0.664,0.839,9.0,-9.043,0.0,0.0282,0.328,0.739,0.342,0.796,114.042,388347.0,0
